Title,Heading,Content,Tokens,Context,Questions,Answers,tokens
Outreach,Outreach Committee Overview,"The Outreach committee is responsible for spreading awareness about Aaruush and promoting it to a wider audience. This includes reaching out to other colleges, conducting promotional events, and managing the campus ambassador program.",37.0,"Outreach
Outreach Committee Overview

The Outreach committee is responsible for spreading awareness about Aaruush and promoting it to a wider audience. This includes reaching out to other colleges, conducting promotional events, and managing the campus ambassador program.","1. What is the Outreach Committee responsible for?
2. What does this include?
3. What is the purpose of the Outreach Committee?
4. What is the goal of the Outreach Committee?","1. The Outreach Committee is responsible for spreading awareness about Aaruush and promoting it to a wider audience.
2. This includes reaching out to other colleges, conducting promotional events, and managing the campus ambassador program.
3. The purpose of the Outreach Committee is to promote Aaruush to a wider audience.
4. The goal of the Outreach Committee is to increase awareness of Aaruush and promote it to other colleges.",
Team Envision,Introduction,"Team Envision, the multidisciplinary technical team of Aaruush, was formed with the goal of finding solutions to the majority of societal and campus-related problems. It is a consortium of AI-ML, Cyber Security, Blockchain, Editorial, Game Developers, Web Developers, App Developers and Designers who work closely to ideate, fabricate and develop products that tackle the above-mentioned problems. Team Envision promotes learning and growth through effective solutions. Our team is composed of diligent and meticulous members, who through their skills have won various accolades for our institution. As a team, we have participated in various hackathons, namely the Smart India Hackathon, Rajasthan Hackathon, Mozofest Hackathon, Accenture Blockchain Hackathon etc. and have come out victorious. In Smart India Hackathon 2022, our team has successfully emerged as the winner.",148.0,"Team Envision
Introduction

Team Envision, the multidisciplinary technical team of Aaruush, was formed with the goal of finding solutions to the majority of societal and campus-related problems. It is a consortium of AI-ML, Cyber Security, Blockchain, Editorial, Game Developers, Web Developers, App Developers and Designers who work closely to ideate, fabricate and develop products that tackle the above-mentioned problems. Team Envision promotes learning and growth through effective solutions. Our team is composed of diligent and meticulous members, who through their skills have won various accolades for our institution. As a team, we have participated in various hackathons, namely the Smart India Hackathon, Rajasthan Hackathon, Mozofest Hackathon, Accenture Blockchain Hackathon etc. and have come out victorious. In Smart India Hackathon 2022, our team has successfully emerged as the winner.","1. What is Team Envision's goal?
2. What are the members of Team Envision's skills?
3. What hackathons has Team Envision participated in?
4. What was the outcome of the Smart India Hackathon 2022?","1. Team Envision's goal is to find solutions to the majority of societal and campus-related problems.The organizers of team enviion for A'22 were sahaj,sanjukta, rishabh, dhanya. The Team Envison organizers for A'23 are Dhaivat, Rishit, Ayush, Ravi and Akash.
2. The members of Team Envision's skills include AI-ML, Cyber Security, Blockchain, Editorial, Game Developers, Web Developers, App Developers and Designers.
3. Team Envision has participated in various hackathons, including the Smart India Hackathon, Rajasthan Hackathon, Mozofest Hackathon, and the Accenture Blockchain Hackathon.
4. The outcome of the Smart India Hackathon 2022 was that Team Envision emerged as the winner.",
Team Envision,Hackathon Attended,1. Smart India Hackathon 2018 <br> 2. Smart India Hackathon 2019 <br> 3. Smart India Hackathon 2020,24.0,"Team Envision
Hackathon Attended

1. Smart India Hackathon 2018 <br> 2. Smart India Hackathon 2019 <br> 3. Smart India Hackathon 2020","1. What is the name of the event?
2. When is the event?
3. What is the name of the event?","1. The event is called the Smart India Hackathon.
2. The event is held annually in March.
3. The event is called the Smart India Hackathon.",
Divisions in Team Envision,"Technical, Design, Management","- Technical: Handles the technical aspects of the projects, including coding and development.<br>- Design: Responsible for creating user interfaces and visual designs for the projects.<br>- Management: Oversees the planning and execution of projects, as well as team management and coordination.",54.0,"Divisions in Team Envision
Technical, Design, Management

- Technical: Handles the technical aspects of the projects, including coding and development.<br>- Design: Responsible for creating user interfaces and visual designs for the projects.<br>- Management: Oversees the planning and execution of projects, as well as team management and coordination.","1. What are the different responsibilities of the Technical, Design, and Management divisions?
2. How do the divisions work together to create projects?
3. What is the role of the Management division in the team?","1. The Technical division is responsible for coding and development, the Design division is responsible for creating user interfaces and visual designs, and the Management division oversees the planning and execution of projects, as well as team management and coordination.
2. The divisions work together to create projects by sharing their respective responsibilities. The Management division coordinates and oversees the project, the Technical division handles the technical aspects, and the Design division creates the user interface and visual designs.
3. The role of the Management division is to coordinate and oversee the project, manage the team, and ensure that all aspects of the project are completed.",
Architecture,"Encompasses of elements related to planning, design, construction.","Usage of light, space, layouts, computer modelling software and programming that help digitalise architecture’s core processes. Provides a comprehensive experience of modern architecture. planning, innovation, Efficiency in steps and enhancing the designs.",42.0,"Architecture
Encompasses of elements related to planning, design, construction.

Usage of light, space, layouts, computer modelling software and programming that help digitalise architecture’s core processes. Provides a comprehensive experience of modern architecture. planning, innovation, Efficiency in steps and enhancing the designs.","1. What is architecture?
2. What are the different elements of architecture?
3. What are the benefits of using computer modelling software in architecture?
4. How does architecture planning help innovation and efficiency in steps?","1. Architecture is the process of planning, designing, and constructing buildings or other physical structures. The organizer of A'22 is Priyanshu Rishi. 
2. The different elements of architecture include light, space, layouts, computer modelling software, and programming.
3. The benefits of using computer modelling software in architecture include planning, innovation, efficiency in steps, and enhanced designs.
4. Architecture planning helps innovation and efficiency in steps by providing a comprehensive experience of modern architecture.",
Digital Design,"Problem-solving through the use of images, words or graphic forms.","A subset of visual communication and communication design. Includes various fields such as digital imaging, videography, modern arts, music, costume design, visual effects, animations, software editing of ads and computing techniques.",40.0,"Digital Design
Problem-solving through the use of images, words or graphic forms.

A subset of visual communication and communication design. Includes various fields such as digital imaging, videography, modern arts, music, costume design, visual effects, animations, software editing of ads and computing techniques.","1. What is digital design?
2. What is the purpose of digital design?
3. What are the different fields of digital design?
4. What are some common computing techniques used in digital design?","1. Digital design is the use of images, words, or graphic forms to solve problems. THe Organizer for A'22 for digital design is Swarnima.
2. The purpose of digital design is to communicate ideas and information through visual means.
3. The different fields of digital design include digital imaging, videography, modern arts, music, costume design, visual effects, animations, and software editing.
4. Some common computing techniques used in digital design include photo editing, video editing, and graphic design software.",
Machination,Covers technical aspects related to the school of Mechanical & Automobile engineering.,Events require participants to come up with unlimited possible solutions for problems by applying techniques relating to contraption functions.,20.0,"Machination
Covers technical aspects related to the school of Mechanical & Automobile engineering.

Events require participants to come up with unlimited possible solutions for problems by applying techniques relating to contraption functions.","1. What is a Machination?
2. What is the school of Mechanical & Automobile engineering?
3. What are the techniques relating to contraption functions?
4. What is the purpose of a Machination?","1. A Machination is a technical event that requires participants to come up with unlimited possible solutions for problems by applying techniques relating to contraption functions.The organizer for A'22 ofMachination is Aakanksh Singh
2. The school of Mechanical & Automobile engineering is a technical school that teaches students about the techniques relating to contraption functions.
3. Techniques relating to contraption functions are methods that participants can use to come up with unlimited possible solutions for problems in a Machination.
4. The purpose of a Machination is to allow participants to apply techniques relating to contraption functions in order to solve problems.",
Electrizite,"Makes provisions for the participants of being bombarded by a stream of resistors, diodes, capacitors, and inductors.","The knowledge of topics like artificial intelligence, microprocessor, integrated circuitry and embedded systems etc. is the order of the course.",24.0,"Electrizite
Makes provisions for the participants of being bombarded by a stream of resistors, diodes, capacitors, and inductors.

The knowledge of topics like artificial intelligence, microprocessor, integrated circuitry and embedded systems etc. is the order of the course.","1. What is the focus of the course?
2. What topics are covered?
3. What is the purpose of the course?","1. The focus of the course is on topics like artificial intelligence, microprocessor, integrated circuitry and embedded systems. THe organizer of electrizite for A'22 is priyanshu rishi.
2. The topics covered in the course include artificial intelligence, microprocessor, integrated circuitry and embedded systems.
3. The purpose of the course is to provide participants with knowledge on these topics.",
Vimanaz,Showcases everything that the word “flying” or “aviation” associates itself to.,"Concerned with development, design, research, and also covers the aerodynamic characteristics.",15.0,"Vimanaz
Showcases everything that the word “flying” or “aviation” associates itself to.

Concerned with development, design, research, and also covers the aerodynamic characteristics.","1. What is the main purpose of the Vimanaz Museum?
2. What is the focus of the museum's exhibits?
3. What does the word ""aviation"" mean?
4. What is the museum's research focus?","1. The main purpose of the Vimanaz Museum is to showcase everything that the word ""flying"" or ""aviation"" associates itself to. The organizer of Vimanaz for A'22 is Md. Amsath Haseef. 
2. The focus of the museum's exhibits is on development, design, research, and also covers the aerodynamic characteristics.
3. Aviation is the term used for the operation of aircraft.
4. The museum's research focus is on aviation.",
Online,Opportunity to sit and compete in events that centre around the world wide web.,"Participating in online events includes gaming, web designing, poster & logo making, photography, app developing. The platform for one to sit at home and enjoy the essence of AARUUSH!",35.0,"Online
Opportunity to sit and compete in events that centre around the world wide web.

Participating in online events includes gaming, web designing, poster & logo making, photography, app developing. The platform for one to sit at home and enjoy the essence of AARUUSH!","1. What is AARUUSH?
2. What are some of the online events that participants can compete in?
3. How do participants compete in these events?
4. What are the benefits of participating in online events?","1. AARUUSH is an online event that centres around the world wide web. THe organizer of Online for A'22 is Viren.
2. Some of the online events that participants can compete in are gaming, web designing, poster & logo making, photography, app developing.
3. Participants compete in these events by sitting at home and enjoying the essence of AARUUSH.
4. The benefits of participating in online events are that participants can enjoy the events from the comfort of their own home, and they can also meet new people from around the world who share the same interests.",
Bluebook,"A consortium of events related to bioengineering, life sciences and chemistry.","Each event makes sure that the participants not only enjoys but also get to learn new concepts that they were previously unaware of, by quizzes and FAQ round.",30.0,"Bluebook
A consortium of events related to bioengineering, life sciences and chemistry.

Each event makes sure that the participants not only enjoys but also get to learn new concepts that they were previously unaware of, by quizzes and FAQ round.","1. What is the Bluebook consortium?
2. What types of events does the Bluebook consortium host?
3. What do participants learn at Bluebook events?
4. How do participants learn at Bluebook events?","1. The Bluebook consortium is a consortium of events related to bioengineering, life sciences, and chemistry. THe organizer of Bluebook for A'22 is Md. Amsath Haseef.
2. The Bluebook consortium hosts a variety of events, including but not limited to, quizzes, FAQ rounds, and lectures.
3. Participants learn about new concepts related to bioengineering, life sciences, and chemistry at Bluebook events.
4. Participants learn about new concepts related to bioengineering, life sciences, and chemistry through quizzes, FAQ rounds, and lectures.",
Magefficie,Various events test the business and management skills of a student.,"Crisis management, marketing, finance, share markets, entrepreneurs, startups, corporate strategies and business planning form the basics of this domain.",26.0,"Magefficie
Various events test the business and management skills of a student.

Crisis management, marketing, finance, share markets, entrepreneurs, startups, corporate strategies and business planning form the basics of this domain.","1. What skills are tested in business and management?
2. What is crisis management?
3. What is marketing?
4. What is finance?
5. What is a share market?
6. What is an entrepreneur?
7. What is a startup?
8. What is corporate strategy?
9. What is business planning?","1. The skills tested in business and management include crisis management, marketing, finance, share markets, entrepreneurs, startups, corporate strategies, and business planning. The Event Organiser and organizer for Magefficie & E-Summit for A'22 was dushyant betala.
2. Crisis management is the process of responding to and managing a crisis or emergency.
3. Marketing is the process of creating and delivering messages that promote the interests of a company or product.
4. Finance is the process of managing money and financial assets.
5. A share market is a place where stocks and shares are bought and sold.
6. An entrepreneur is a person who starts a business.
7. A startup is a company or business that is in the early stages of development.
8. Corporate strategy is the process of formulating and implementing the long-term goals and objectives of a company.
9. Business planning is the process of creating a plan for a business.",
